"_id",B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba95a,-0.5533919094434528,333.4583554698439,0.01786770445016172,39.373080517577485,US,Dallas,48113,20.316966203876724,0.3845024841707271,0.047921009244272096,-174.73580899418138,32.96,-96.83,Dallas,20200517,20200521,DART,Texas,48,29.845023360727104,48,46,,,,,,,,,,56,63
5e88da2b7e859234c8cba95b,-0.7905070757486021,250.85088279263266,-0.010947989035136798,49.83289245002641,US,Washington,11001,16.085882342311308,0.2171191838587264,0.05604916058811497,-154.47847306629518,38.89,-77.03,Washington D.C.,20200517,20200521,DC Circulator,D.C,11,32.95938739616886,46,27,0.3508095165072534,1.284697960218951,0.5881284457765653,8.0,6.475,16.725,15.225,-1.525,-1.5,60,76
5e88da2b7e859234c8cba95c,-0.7039854467258791,2684.2417053633994,0.03819852998369634,46.732915258217545,US,Wayne,26163,15.093701570008616,0.23158360901332736,0.040307239264619626,-1466.4272185478494,42.25,-83.21,Detroit,20200517,20200521,DDOT,Michigan,26,30.913308414113082,48,46,0.16459401701230705,1.5649748894277058,0.40294332373083475,7.897435897435898,8.606060606060606,15.325,15.15,0.65625,-0.175,68,79
5e88da2b7e859234c8cba95d,-0.6579196568337832,250.85088279263266,0.002303428372979301,52.334970465858845,US,Washington,11001,16.029568567399526,0.2018190932785193,0.05604916058811497,-154.47847306629518,38.89,-77.03,Washington D.C.,20200517,20200521,Fairfax Connector,D.C,11,34.182269516629184,46,27,0.07579563623662784,1.190040148764717,0.32435090313037857,7.025,6.7,15.7,15.2,-0.325,-0.5,60,76
5e88da2b7e859234c8cba95e,-0.7332752060270542,99.95676701915579,0.020533496985921246,35.475314516329476,US,Los Angeles,06037,19.109516250149685,0.44770949593096987,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Foothill Transit,California,06,27.29241538323958,4,38,0.1391528865214843,2.3133074199358825,0.41861870101371534,7.025,7.275,15.925,15.75,0.25,-0.175,62,73
5e88da2b7e859234c8cba95f,-0.6521846565134979,256.9322370518576,-0.0075794958301883125,38.314588394215434,US,Cuyahoga,39035,20.54125391739999,0.4122537221035936,0.043474648893926826,-135.3353450304801,41.36,-81.86,Cleveland,20200517,20200521,GCRTA,Ohio,39,29.427921155807713,47,48,0.22772769218347086,1.8502223509535054,0.5253030893434343,7.325,8.63888888888889,15.35,15.2,1.3055555555555556,-0.15,53,70
5e88da2b7e859234c8cba960,-0.7631349415527834,99.95676701915579,0.01745510968351813,34.88979429802846,US,Los Angeles,06037,20.34367800437712,0.5037168096516056,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Glendale Beeline,California,06,27.616736151202794,4,38,,,,,,,,,,62,73
5e88da2b7e859234c8cba961,-0.843478596314753,,-0.02342926854611175,36.714800883080265,US,Marin and Sonoma,,14.75414925415483,0.33364780863826393,,,,,SF Bay Area,20200517,,Golden Gate Transit,California,06,25.73447506861755,,,0.3236332703944446,3.1183333259986523,0.7113943967051689,7.775,7.6,17.0,15.9,-0.175,-1.1,,
5e88da2b7e859234c8cba962,-0.5723303162196437,52.842892423583706,0.0038800867935790376,46.28217127955642,US,Montgomery,39113,16.45041262420441,0.24561486223155532,0.04502204898069552,-20.196792774792062,39.83,-84.41,Dayton,20200517,20200521,Greater Dayton RTA,Ohio,39,31.366291951880417,57,46,0.2566861704306254,1.2898730868466537,0.4550859032843078,7.325,8.5,15.0,14.35,1.1071428571428572,-0.65,52,67
5e88da2b7e859234c8cba963,-0.8275964726020458,69.44387746108522,0.0015021510982144372,37.31339452724863,US,Multnomah,41051,22.28276036406457,0.48747931808534745,0.04862662161845397,-37.703948017056234,45.55,-122.27,Portland,20200517,20200521,Greater Portland Metro Bus,Oregon,41,29.7980774456566,48,34,,,,,,,,,,67,73
5e88da2b7e859234c8cba964,-0.6371889539554443,99.95676701915579,-0.014353519091231668,36.30076367373364,US,Los Angeles,06037,18.7904566424653,0.41844630589144843,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,GTrans,California,06,27.54561015809947,4,38,0.17999794934667648,2.0889752501143417,0.3968560992448458,7.0,7.175,16.275,15.6,0.175,-0.675,62,73
5e88da2b7e859234c8cba965,-0.6903765498507187,309.2537212864151,0.051432904932469645,41.0695037514813,US,Hartford,09003,18.66190231697378,0.3269927534937133,0.0644223935920382,-162.32366965991065,41.87,-72.67,Hartford,20200517,20200521,Hartford Line,Connecticut,09,29.86570303422754,52,41,,,,,,,,,,65,72
