system_name,wfh_pop,total_pop,wfh_pop_ratio,transit_pop,total_working_pop,transit_pop_rate,google_trend_Coronavirus,pp45,all_house,vehicle0_house,vehicle0_house_rate,black_pop,hispanic_pop,total_race_pop,black_ratio,hispanic_ratio,female_pop,female_ratio,median_income,date_emergency,base_value,b,base_point,county,county_FIPS,cliff_point,decay_rate,lat,lon,metro_area,state,state_FIPS,t0,first_case_date,stretch_factor,average_procrustes_distance,pop_den,area,employment,employ_den
 OCTA ,838954,1578079,0.531629912,32564,1546371,0.021058336,73,0.405309176,1032373,45380,0.043956981,54732,1080195,3164182,0.017297362,0.34138207,1601753,0.506213928,97050,18,-0.762911867,0.004669154,39.24579025,Orange,6059,18.24066639,0.348825522,33.84,-118,Los Angeles,California,6,28.74322832,4,1.993666489,0.361184044,3991.241,792.7815573,1578079,1990.559676
 Omnitrans ,371901,892435,0.416726148,13503,881534,0.015317617,73,0.34589234,630633,32180,0.051028094,178404,1127813,2135413,0.083545431,0.528147482,1072941,0.502451282,66415,18,-0.591584011,-0.027186434,35.2539308,San Bernardino,6071,18.81214279,0.445640297,34.14,-117.61,Los Angeles,California,6,27.0330368,53,,,106.4518,20059.89869,892435,44.48850983
 Pasadena Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.77227923,-0.003613512,34.59546546,Los Angeles,6037,19.78926316,0.494868512,33.97,-118.24,Los Angeles,California,6,27.19236431,4,2.807316195,0.662870314,2488.312,4058.19327,4869658,1199.957143
 PresidiGo ,333796,515382,0.647667167,178948,504358,0.354803532,78,0.401504981,359673,109968,0.305744384,45402,132651,870044,0.052183568,0.152464703,426074,0.489715463,122900,18,-0.885394992,-0.018914492,37.16562098,San Francisco,6075,12.57019084,0.297905881,37.77,-122.41,SF Bay Area,California,6,24.86790591,43,,,18565.53,46.86341404,515382,10997.53423
 Riverside Transit Agency ,415777,1007795,0.412561086,13077,984230,0.013286529,73,0.376658529,718349,30713,0.042754984,153545,1154517,2383286,0.064425755,0.484422348,1197098,0.502288857,73082,18,-0.699950276,-0.002137325,37.34535222,Riverside,6065,17.62980882,0.371641965,33.99,-117.53,Los Angeles,California,6,27.48758052,46,2.179177944,0.496890686,330.7107,7206.558721,1007795,139.8441391
 SamTrans ,242291,409911,0.591081967,43421,401339,0.108190333,78,0.425382049,261969,14038,0.053586493,17849,189002,765935,0.023303544,0.246759843,388084,0.506680071,132732,18,-0.814628907,-0.006784991,38.04318527,San Mateo,6081,14.66984567,0.313482088,37.5,-122.3,SF Bay Area,California,6,26.35651547,40,2.386822942,0.618130827,1707.255,448.6355056,409911,913.6838143
 Santa Clarita Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.689005031,-0.037293945,34.01453745,Los Angeles,6037,20.93050144,0.560004825,33.97,-118.24,Los Angeles,California,6,27.47251944,4,2.714899961,0.461517943,2488.312,4058.19327,4869658,1199.957143
 Santa Cruz Metro ,68700,134904,0.509251023,3938,131355,0.029979826,67,0.414362683,95756,5234,0.05465976,2596,91676,273765,0.009482585,0.334871149,138038,0.504220773,96327,18,-0.868424725,-0.015740595,37.69984014,Santa Cruz,6087,14.91115815,0.321524663,36.97,-121.89,Santa Cruz,California,6,26.30549914,47,3.05339757,0.699271626,615.0306,445.1241874,134904,303.0704775
 Torrance Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.701378244,0.016062306,35.91040833,Los Angeles,6037,18.16324447,0.412861647,33.97,-118.24,Los Angeles,California,6,27.0368264,4,2.272480482,0.41079734,2488.312,4058.19327,4869658,1199.957143
 University of California Berkeley - Bear Transit ,502525,847170,0.593180826,116644,767292,0.152020352,78,0.389353288,572870,54816,0.09568663,177135,369061,1643700,0.107766016,0.224530632,836529,0.508930462,111231,18,-0.972384879,0.000169995,37.14206382,Alameda,6001,16.13961429,0.348869939,37.77,-122.27,SF Bay Area,California,6,26.64083906,41,3.491908401,0.904924635,2229.351,737.2999226,847170,1149.016803
 VTA ,611494,985838,0.620278382,43180,955422,0.045194689,78,0.383892415,635525,32645,0.05136698,48058,495455,1922200,0.025001561,0.257754136,951731,0.495125897,131554,18,-0.820482162,-0.017855299,37.42337859,Santa Clara,6085,15.88243326,0.340148642,37.36,-122.14,SF Bay Area,California,6,26.65290593,5,3.370341291,0.579398986,1488.824,1291.085741,985838,763.5728354
 West Hollywood - WeHo ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.820657373,0.023316556,35.90968381,Los Angeles,6037,20.35663138,0.471105163,33.97,-118.24,Los Angeles,California,6,28.1331576,4,2.347780172,0.683544967,2488.312,4058.19327,4869658,1199.957143
 RTD ,221241,389034,0.568693225,25931,382460,0.067800554,76,0.33131002,294358,29335,0.09965756,64881,209859,693417,0.093567074,0.302644729,346229,0.499308497,81452,24,-0.78949393,6.38E-06,39.44160846,Denver,8031,17.55304662,0.334746675,39.59,-105.01,Denver,Colorado,8,28.49732754,44,2.314782128,0.530211557,4523.501,153.2921017,389034,2537.860697
 Via Mobility Services - Boulder ,221241,389034,0.568693225,25931,382460,0.067800554,76,0.33131002,294358,29335,0.09965756,64881,209859,693417,0.093567074,0.302644729,346229,0.499308497,81452,24,-0.958724705,-0.003985534,38.35339046,Denver,8031,15.69104159,0.323317028,39.59,-105.01,Denver,Colorado,8,27.02221602,44,3.986258297,0.894220062,4523.501,153.2921017,389034,2537.860697
 CTTransit Hartford ,249021,447893,0.555983237,14424,439172,0.032843624,72,0.442700032,349064,36883,0.105662572,122103,157785,894730,0.136469102,0.17634929,460080,0.514210991,92383,24,-0.642949887,0.037421872,38.16737023,Hartford,9003,20.22463302,0.408361512,41.87,-72.67,Hartford,Connecticut,9,29.19600162,52,1.58178156,0.380975704,1217.382,734.9624539,447893,609.4093618
 CTTransit New Britain ,249021,447893,0.555983237,14424,439172,0.032843624,72,0.442700032,349064,36883,0.105662572,122103,157785,894730,0.136469102,0.17634929,460080,0.514210991,92383,24,-0.719502688,0.057903601,37.30553323,Hartford,9003,20.25022069,0.429609441,41.87,-72.67,New Britain,Connecticut,9,28.77787696,52,,,1217.382,734.9624539,447893,609.4093618
 CTTransit New Haven ,230791,427791,0.539494753,18032,420437,0.042888709,72,0.443180165,329857,38419,0.116471683,113737,151361,859339,0.132354054,0.176136542,445028,0.517872458,88178,24,-0.641629046,0.018429292,39.42465835,New Haven,9009,19.20837103,0.362436642,41.34,-73.06,New Haven,Connecticut,9,29.31651469,52,1.569213918,0.452699799,1421.533,604.5156657,427791,707.6590803
 CTTransit Stamford ,263716,475513,0.554592619,47752,466283,0.10240991,79,0.439374044,340491,26098,0.076648135,107215,182653,944348,0.113533358,0.193417045,484385,0.512930615,114461,24,-0.711420344,0.033427191,39.14328592,Fairfield,9001,18.6611145,0.357731763,41.39,-73.31,Stamford,Connecticut,9,28.90220021,47,,,1511.042,624.964823,475513,760.8636238
 Hartford Line ,249021,447893,0.555983237,14424,439172,0.032843624,72,0.442700032,349064,36883,0.105662572,122103,157785,894730,0.136469102,0.17634929,460080,0.514210991,92383,24,-0.69037655,0.051432905,41.06950375,Hartford,9003,18.66190232,0.326992753,41.87,-72.67,Hartford,Connecticut,9,29.86570303,52,,,1217.382,734.9624539,447893,609.4093618
 Shore Line East ,230791,427791,0.539494753,18032,420437,0.042888709,72,0.443180165,329857,38419,0.116471683,113737,151361,859339,0.132354054,0.176136542,445028,0.517872458,88178,24,-0.691629078,0.039581563,31.97317989,New Haven,9009,26.20976602,1.271316523,41.34,-73.06,New Haven,Connecticut,9,29.09147295,52,,,1421.533,604.5156657,427791,707.6590803
 DC Circulator ,265583,369194,0.719358928,130661,366168,0.356833475,76,0.333220842,281322,99637,0.35417422,321317,74776,684498,0.469419925,0.109242102,359617,0.525373339,105029,25,-0.790507076,-0.010947989,49.83289245,Washington,11001,16.08588234,0.217119184,38.89,-77.03,Washington D.C.,D.C,11,32.9593874,46,1.28469796,0.588128446,11196.4,61.13556665,369194,6038.939691
